experiment,noise_std,threshold,accuracy,precision,recall,f1,confusion_matrix,roc_auc
noise,0.0,0.30999999999999994,0.9,0.9473684210526315,0.9,0.9230769230769231,"[[18, 2], [4, 36]]",0.9762500000000001
noise,0.05,0.30999999999999994,0.9,0.9473684210526315,0.9,0.9230769230769231,"[[18, 2], [4, 36]]",0.9762500000000001
noise,0.15,0.30999999999999994,0.9,0.9473684210526315,0.9,0.9230769230769231,"[[18, 2], [4, 36]]",0.97875
noise,0.3,0.30999999999999994,0.8833333333333333,0.9459459459459459,0.875,0.9090909090909091,"[[18, 2], [5, 35]]",0.9774999999999999
