epoch,train_loss,val_loss,train_acc,val_acc
0,0.43410130217671394,0.44003245436539085,0.4921875,0.5254237267930629
1,0.3887358345091343,0.3944945764743676,0.58203125,0.7627118664272761
2,0.3387354575097561,0.34586341704352425,0.7265625,0.7627118664272761
3,0.3164227865636349,0.3067718860456499,0.796875,0.8305084836685052
4,0.29467082396149635,0.27919876272395505,0.82421875,0.8305084836685052
5,0.2784505467861891,0.2615755069053779,0.82421875,0.8305084836685052
6,0.2539099231362343,0.24626152646743646,0.8671875,0.8305084836685052
7,0.24108224362134933,0.23704565632141242,0.8828125,0.8305084836685052
8,0.228799507021904,0.225504485732418,0.890625,0.8644067685482866
9,0.22539994306862354,0.21854690879078234,0.87109375,0.8644067685482866
10,0.20106578804552555,0.21181232494823002,0.8984375,0.8644067685482866
11,0.20074468292295933,0.20591759328114784,0.90234375,0.8644067685482866
12,0.17797335609793663,0.19960238165774588,0.92578125,0.8644067685482866
13,0.19412089884281158,0.19253405777074523,0.90625,0.8644067685482866
14,0.1729789413511753,0.18606433878510686,0.921875,0.8644067685482866
15,0.17061342485249043,0.18191754817962646,0.921875,0.8644067685482866
16,0.18908498249948025,0.17745504692449407,0.87890625,0.8644067685482866
17,0.15083654783666134,0.1769276342149508,0.9375,0.8644067685482866
18,0.1489754542708397,0.17575676663447234,0.94140625,0.8644067685482866
19,0.15288547240197659,0.17312656519776684,0.9296875,0.8644067685482866
20,0.14308302197605371,0.17260793811183864,0.9296875,0.8644067685482866
21,0.16474391426891088,0.1689464869135517,0.90234375,0.8644067685482866
22,0.1334130149334669,0.16765779761944788,0.9453125,0.8644067685482866
23,0.13505430426448584,0.16540149409892196,0.9296875,0.8644067685482866
24,0.13115167990326881,0.1651488608222897,0.9375,0.8644067685482866
25,0.14379050582647324,0.166489307658147,0.91796875,0.8644067685482866
26,0.12785994447767735,0.1651412187996557,0.94140625,0.8644067685482866
27,0.13251367025077343,0.16309258796400944,0.91796875,0.8644067685482866
28,0.1335199000313878,0.1602035912416749,0.9140625,0.8644067685482866
29,0.12409374676644802,0.15729370208109839,0.9375,0.8644067685482866
30,0.12396640609949827,0.160306411779533,0.94140625,0.8644067685482866
31,0.12181649170815945,0.16115401407419624,0.9453125,0.8813559382648791
32,0.12401404976844788,0.16143260820437286,0.9296875,0.8813559382648791
33,0.12186875380575657,0.16114071516667383,0.94921875,0.8813559382648791
34,0.1193719794973731,0.15962107858415378,0.94921875,0.8644067685482866
35,0.10417291335761547,0.15795519089294693,0.94921875,0.8644067685482866
36,0.10948554519563913,0.1599559309118885,0.9375,0.8813559382648791
37,0.10759124718606472,0.15895993881306406,0.9375,0.8644067685482866
38,0.10336062172427773,0.1638348041954687,0.93359375,0.8644067685482866
39,0.12519430229440331,0.16587885557594945,0.9296875,0.8644067685482866
40,0.08009861130267382,0.1602107589527712,0.9765625,0.8644067685482866
41,0.09356014803051949,0.15807919381028515,0.9609375,0.8813559382648791
