experiment,feature_group,threshold,accuracy,precision,recall,f1,confusion_matrix,roc_auc
ablation,vitals_only,0.22999999999999998,0.8166666666666667,0.8372093023255814,0.9,0.8674698795180723,"[[13, 7], [4, 36]]",0.93875
ablation,demographics_only,0.30999999999999994,0.8166666666666667,0.8536585365853658,0.875,0.8641975308641975,"[[14, 6], [5, 35]]",0.8362499999999999
ablation,all,0.29,0.9,0.9473684210526315,0.9,0.9230769230769231,"[[18, 2], [4, 36]]",0.9687500000000001
